DATE,DEPTH,TN
1999-07-15,500,23.1
1999-07-15,1000,22.7
1999-07-15,1500,24.8
1999-07-15,2000,30.9
1999-07-15,2500,28.9
1999-08-17,100,23.1
1999-08-17,500,21.6
1999-08-17,1000,20.3
1999-08-17,1500,19.8
1999-08-17,2000,20.5
1999-08-17,2500,28.4
1999-09-17,100,30.2
1999-09-17,500,25.6
1999-09-17,1000,24.9
1999-09-17,1500,20.4
1999-09-17,2000,18.0
1999-09-17,2500,21.8
1999-10-18,100,29.3
1999-10-18,500,27.1
1999-10-18,1000,22.1
1999-10-18,1500,23.3
1999-10-18,2000,20.9
1999-10-18,2500,25.0
1999-11-16,100,27.5
1999-11-16,500,19.2
1999-11-16,1000,18.4
1999-11-16,1500,15.1
1999-11-16,2000,16.1
1999-11-16,2500,24.2
1999-12-15,100,29.2
1999-12-15,500,24.2
1999-12-15,1000,22.5
1999-12-15,1500,25.0
1999-12-15,2000,27.5
1999-12-15,2500,21.5
2000-01-18,100,31.8
2000-01-18,500,30.1
2000-01-18,1000,32.5
2000-01-18,1500,27.2
2000-01-18,2000,26.7
2000-01-18,2500,25.4
2000-02-08,100,27.0
2000-02-08,500,27.9
2000-02-08,1000,29.5
2000-02-08,1500,27.6
2000-02-08,2000,26.7
2000-02-08,2500,29.6
2000-03-15,100,33.8
2000-03-15,500,41.1
2000-03-15,1000,37.2
2000-03-15,1500,32.3
2000-03-15,2000,36.4
2000-03-15,2500,33.8
2000-04-17,100,25.2
2000-04-17,500,20.8
2000-04-17,1000,19.3
2000-04-17,1500,22.2
2000-04-17,2000,26.7
2000-04-17,2500,25.4
2000-05-17,100,17.2
2000-05-17,500,15.4
2000-05-17,1000,16.1
2000-05-17,1500,16.6
2000-05-17,2000,22.6
2000-05-17,2500,28.5
2000-06-28,100,21.4
2000-06-28,500,22.9
2000-06-28,1000,25.3
2000-06-28,1500,17.9
2000-06-28,2000,19.1
2000-06-28,2500,21.5
2000-07-12,100,25.7
2000-07-12,500,30.4
2000-07-12,1000,20.1
2000-07-12,1500,25.7
2000-07-12,2000,18.3
2000-07-12,2500,22.2
2000-08-08,100,23.2
2000-08-08,500,24.7
2000-08-08,1000,20.8
2000-08-08,1500,20.1
2000-08-08,2000,16.8
2000-08-08,2500,19.1
2000-09-27,100,18.0
2000-09-27,500,20.6
2000-09-27,1000,17.9
2000-09-27,1500,18.2
2000-09-27,2000,17.0
2000-09-27,2500,25.2
2000-10-24,100,24.6
2000-10-24,500,28.2
2000-10-24,1000,21.9
2000-10-24,1500,25.8
2000-10-24,2000,25.7
2000-10-24,2500,43.2
2000-11-28,100,40.5
2000-11-28,500,22.2
2000-11-28,1000,23.7
2000-11-28,1500,20.2
2000-11-28,2000,22.0
2000-11-28,2500,42.8
2000-12-18,100,32.5
2000-12-18,500,22.4
2000-12-18,1000,25.2
2000-12-18,1500,24.0
2000-12-18,2000,23.5
2000-12-18,2500,26.0
2001-01-16,100,24.4
2001-01-16,500,23.5
2001-01-16,1000,21.6
2001-01-16,1500,21.8
2001-01-16,2000,23.5
2001-01-16,2500,27.0
2001-02-15,100,22.5
2001-02-15,500,27.8
2001-02-15,1000,24.0
2001-02-15,1500,22.8
2001-02-15,2000,23.1
2001-02-15,2500,25.5
2001-03-13,100,31.2
2001-03-13,500,25.9
2001-03-13,1000,27.7
2001-03-13,1500,27.1
2001-03-13,2000,25.2
2001-03-13,2500,26.4
2001-04-18,100,23.4
2001-04-18,500,23.0
2001-04-18,1000,21.6
2001-04-18,1500,20.0
2001-04-18,2000,19.4
2001-04-18,2500,35.8
2001-05-31,100,20.2
2001-05-31,500,22.8
2001-05-31,1000,22.4
2001-05-31,1500,33.3
2001-05-31,2000,30.5
2001-05-31,2500,32.7
2001-06-28,100,39.3
2001-06-28,500,40.1
2001-06-28,1000,28.4
2001-06-28,1500,32.8
2001-06-28,2000,30.9
2001-06-28,2500,34.9
2001-07-11,100,30.2
2001-07-11,500,24.7
2001-07-11,1000,23.1
2001-07-11,1500,21.3
2001-07-11,2000,20.9
2001-07-11,2500,27.4
2001-08-09,100,25.2
2001-08-09,500,20.8
2001-08-09,1000,20.3
2001-08-09,1500,26.2
2001-08-09,2000,22.9
2001-08-09,2500,25.5
2001-09-10,100,25.8
2001-09-10,500,31.1
2001-09-10,1000,27.8
2001-09-10,1500,20.5
2001-09-10,2000,17.5
2001-09-10,2500,27.6
2001-10-16,100,22.4
2001-10-16,500,21.0
2001-10-16,1000,18.4
2001-10-16,1500,21.6
2001-10-16,2000,21.4
2001-10-16,2500,40.0
2001-11-06,100,43.6
2001-11-06,500,26.4
2001-11-06,1000,22.0
2001-11-06,1500,33.2
2001-11-06,2000,31.6
2001-11-06,2500,24.2
2001-12-13,100,30.6
2001-12-13,500,24.7
2001-12-13,1000,24.1
2001-12-13,1500,25.3
2001-12-13,2000,22.2
2001-12-13,2500,24.3
2002-01-08,100,26.0
2002-01-08,500,27.2
2002-01-08,1000,23.8
2002-01-08,1500,27.9
2002-01-08,2000,27.2
2002-01-08,2500,34.0
2002-02-21,100,28.3
2002-02-21,500,27.1
2002-02-21,1000,30.7
2002-02-21,1500,27.0
2002-02-21,2000,26.2
2002-02-21,2500,26.1
2002-03-11,100,39.9
2002-03-11,500,28.6
2002-03-11,1000,28.4
2002-03-11,1500,26.6
2002-03-11,2000,25.7
2002-03-11,2500,26.9
2002-04-10,100,20.4
2002-04-10,500,19.0
2002-04-10,1000,19.1
2002-04-10,1500,19.7
2002-04-10,2000,19.4
2002-04-10,2500,28.4
2002-05-21,100,21.1
2002-05-21,500,19.1
2002-05-21,1000,18.2
2002-05-21,1500,18.8
2002-05-21,2000,27.2
2002-05-21,2500,32.5
2002-06-18,100,18.4
2002-06-18,500,19.5
2002-06-18,1000,19.0
2002-06-18,1500,19.7
2002-06-18,2000,26.2
2002-06-18,2500,25.8
2002-07-09,100,23.1
2002-07-09,500,22.3
2002-07-09,1000,20.9
2002-07-09,1500,19.2
2002-07-09,2000,25.2
2002-07-09,2500,24.8
2002-08-20,100,20.8
2002-08-20,500,26.6
2002-08-20,1000,18.0
2002-08-20,1500,17.1
2002-08-20,2000,18.4
2002-08-20,2500,30.2
2002-09-17,100,23.1
2002-09-17,500,25.6
2002-09-17,1000,22.5
2002-09-17,1500,19.0
2002-09-17,2000,22.9
2002-09-17,2500,36.0
2002-10-15,100,31.9
2002-10-15,500,25.4
2002-10-15,1000,24.6
2002-10-15,1500,22.6
2002-10-15,2000,28.9
2002-10-15,2500,41.7
2002-11-19,100,21.5
2002-11-19,500,21.6
2002-11-19,1000,25.2
2002-11-19,1500,22.2
2002-11-19,2000,29.5
2002-11-19,2500,30.9
2002-12-17,100,24.8
2002-12-17,500,26.2
2002-12-17,1000,24.9
2002-12-17,1500,28.7
2002-12-17,2000,23.7
2002-12-17,2500,23.3
2003-01-23,100,30.5
2003-01-23,500,25.7
2003-01-23,1000,26.3
2003-01-23,1500,20.5
2003-01-23,2000,18.1
2003-01-23,2500,19.4
2003-02-18,100,25.5
2003-02-18,500,25.9
2003-02-18,1000,25.1
2003-02-18,1500,25.7
2003-02-18,2000,22.8
2003-02-18,2500,24.2
2003-03-11,100,20.9
2003-03-11,500,18.6
2003-03-11,1000,20.4
2003-03-11,1500,18.9
2003-03-11,2000,18.7
2003-03-11,2500,22.8
2003-04-24,100,20.7
2003-04-24,500,18.5
2003-04-24,1000,21.8
2003-04-24,1500,19.2
2003-04-24,2000,15.8
2003-04-24,2500,21.1
2003-05-13,100,17.4
2003-05-13,500,21.2
2003-05-13,1000,19.3
2003-05-13,1500,16.4
2003-05-13,2000,18.7
2003-05-13,2500,21.8
2003-06-17,100,21.0
2003-06-17,500,18.8
2003-06-17,1000,18.4
2003-06-17,1500,16.7
2003-06-17,2000,18.6
2003-06-17,2500,17.8
2003-07-15,100,21.0
2003-07-15,500,19.0
2003-07-15,1000,18.1
2003-07-15,1500,19.2
2003-07-15,2000,21.7
2003-07-15,2500,23.4
2003-08-13,100,24.4
2003-08-13,500,20.0
2003-08-13,1000,29.8
2003-08-13,1500,22.1
2003-08-13,2000,17.9
2003-08-13,2500,26.9
2003-09-08,100,22.5
2003-09-08,500,23.1
2003-09-08,1000,30.5
2003-09-08,1500,19.2
2003-09-08,2000,18.2
2003-09-08,2500,30.6
2003-10-14,100,22.1
2003-10-14,500,24.6
2003-10-14,1000,25.2
2003-10-14,1500,21.2
2003-10-14,2000,28.6
