DATE,DEPTH,NH4
2015-08-04,1000,0.13
2015-08-04,1500,0.05
2015-08-04,2000,0.02
2015-08-04,2500,0.18
2015-09-10,100,0.14
2015-09-10,500,0.17
2015-09-10,1000,0.34
2015-09-10,1500,0.38
2015-09-10,2000,2.24
2015-09-10,2500,4.37
2015-10-15,0,
2015-11-05,100,0.09
2015-11-05,500,0.1
2015-11-05,1000,0.06
2015-11-05,1500,0.15
2015-11-05,2000,4.41
2015-11-05,2500,10.87
2015-12-08,100,0.41
2015-12-08,500,0.49
2015-12-08,1000,0.81
2015-12-08,1500,0.8
2015-12-08,2000,0.92
2015-12-08,2500,0.92
2016-01-05,0,
2016-02-09,0,
2016-03-08,100,
2016-03-08,2640,
2016-03-08,500,0.04
2016-03-08,1000,0.17
2016-03-08,1500,0.2
2016-03-08,2000,0.74
2016-03-08,2500,1.17
2016-04-12,100,0.27
2016-04-12,500,0.18
2016-04-12,1000,0.12
2016-04-12,1500,0.14
2016-04-12,2000,3.32
2016-04-12,2500,8.01
2016-05-03,100,0.7
2016-05-03,500,0.83
2016-05-03,1000,0.91
2016-05-03,1500,0.87
2016-05-03,2000,0.84
2016-05-03,2500,0.84
2016-06-01,100,0.77
2016-06-01,500,0.83
2016-06-01,1000,0.77
2016-06-01,1500,0.8
2016-06-01,2000,1.11
2016-06-01,2500,1.02
2016-06-21,0,
2016-07-05,100,0.65
2016-07-05,500,0.7
2016-07-05,1000,0.76
2016-07-05,1500,0.79
2016-07-05,2000,0.9
2016-07-05,2500,2.31
2016-08-03,100,0.76
2016-08-03,500,1.49
2016-08-03,1000,0.96
2016-08-03,1500,1.01
2016-08-03,2000,0.98
2016-08-03,2500,5.53
2016-09-21,100,0.83
2016-09-21,500,0.81
2016-09-21,1000,0.79
2016-09-21,1500,0.86
2016-09-21,2000,1.01
2016-09-21,2500,13.7
2016-10-19,100,0.71
2016-10-19,500,0.64
2016-10-19,1000,0.98
2016-10-19,1500,2.14
2016-10-19,2000,4.36
2016-10-19,2500,27.91
2016-11-08,100,0.41
2016-11-08,500,0.17
2016-11-08,1000,0.01
2016-11-08,1500,0.01
2016-11-08,2000,0.48
2016-11-08,2500,23.23
2016-12-06,100,0.15
2016-12-06,500,0.09
2016-12-06,1000,0.17
2016-12-06,1500,0.15
2016-12-06,2000,8.18
2016-12-06,2500,8.55
2017-01-10,100,0.01
2017-01-10,500,0.07
2017-01-10,1000,0.23
2017-01-10,1500,1.34
2017-01-10,2000,3.11
2017-01-10,2500,9.75
2017-02-21,0,
2017-03-13,100,0.17
2017-03-13,500,0.01
2017-03-13,1000,1.29
2017-03-13,1500,2.22
2017-03-13,2000,2.21
2017-03-13,2500,2.5
2017-04-10,100,0.08
2017-04-10,500,0.04
2017-04-10,1000,0.01
2017-04-10,1500,0.36
2017-04-10,2000,2.34
2017-04-10,2500,2.43
2017-05-03,0,
2017-06-21,100,0.01
2017-06-21,500,0.31
2017-06-21,1000,0.22
2017-06-21,1500,0.17
2017-06-21,2000,0.18
2017-06-21,2500,0.33
2017-07-17,100,0.13
2017-07-17,500,0.08
2017-07-17,1000,0.09
2017-07-17,1500,0.14
2017-07-17,2000,0.77
2017-07-17,2500,1.89
2017-08-01,100,0.01
2017-08-01,500,0.0
2017-08-01,1000,0.03
2017-08-01,1500,0.03
2017-08-01,2000,0.17
2017-08-01,2500,1.27
2017-09-12,100,0.07
2017-09-12,500,0.16
2017-09-12,1000,0.67
2017-09-12,1500,1.64
2017-09-12,2000,1.75
2017-09-12,2500,2.92
2017-10-24,100,
2017-10-24,2500,
2017-10-24,500,0.81
2017-10-24,1000,0.02
2017-10-24,1500,2.26
2017-10-24,2000,
2017-11-09,100,
2017-11-09,2500,
2017-11-09,500,0.17
2017-11-09,1000,0.1
2017-11-09,1500,0.11
2017-11-09,2000,2.08
2017-12-19,100,0.43
2017-12-19,500,0.43
2017-12-19,1000,0.36
2017-12-19,1500,0.35
2017-12-19,2000,0.66
2017-12-19,2500,1.2
2018-01-10,100,0.61
2018-01-10,500,0.65
2018-01-10,1000,0.71
2018-01-10,1500,0.7
2018-01-10,2000,0.78
2018-01-10,2500,0.8
2018-02-20,100,0.04
2018-02-20,500,0.04
2018-02-20,1000,0.22
2018-02-20,1500,0.54
2018-02-20,2000,1.01
2018-02-20,2500,1.38
2018-03-26,100,0.26
2018-03-26,500,0.15
2018-03-26,1000,0.27
2018-03-26,1500,0.41
2018-03-26,2000,0.77
2018-03-26,2500,1.23
2018-04-18,100,0.01
2018-04-18,500,0.1
2018-04-18,1000,0.08
2018-04-18,1500,0.11
2018-04-18,2000,0.05
2018-04-18,2500,0.03
2018-05-08,100,0.04
2018-05-08,500,0.33
2018-05-08,1000,0.02
2018-05-08,1500,0.18
2018-05-08,2000,0.58
2018-05-08,2500,0.79
2018-06-21,100,0.09
2018-06-21,500,0.05
2018-06-21,1000,0.0
2018-06-21,1500,0.07
2018-06-21,2000,0.85
2018-06-21,2500,1.67
2018-07-12,0,
2018-08-01,100,0.19
2018-08-01,2500,3.27
2018-08-01,500,0.03
2018-08-01,1000,0.01
2018-08-01,1500,0.02
2018-08-01,2000,0.04
2018-09-20,100,0.0
2018-09-20,500,0.13
2018-09-20,1000,0.24
2018-09-20,1500,0.26
2018-09-20,2000,1.92
2018-09-20,2500,28.0
2018-09-20,1450,
2018-10-18,100,0.16
2018-10-18,500,0.16
2018-10-18,1000,0.04
2018-10-18,1500,0.13
2018-10-18,2000,0.7
2018-10-18,2500,1.89
2018-11-13,100,0.03
2018-11-13,500,0.16
2018-11-13,1000,0.31
2018-11-13,1500,0.77
2018-11-13,2000,1.36
2018-11-13,2500,1.85
2018-12-12,100,0.08
2018-12-12,500,0.05
2018-12-12,1000,0.16
2018-12-12,1500,0.16
2018-12-12,2000,1.09
2018-12-12,2500,1.83
2019-01-08,0,
2019-02-26,100,0.0
2019-02-26,500,0.01
2019-02-26,1000,0.04
2019-02-26,1500,0.5
2019-02-26,2000,2.03
2019-02-26,2500,3.58
2019-03-20,100,0.01
2019-03-20,500,0.07
2019-03-20,1000,0.13
2019-03-20,1500,0.19
2019-03-20,2000,2.0
2019-03-20,2500,2.6
2019-04-24,100,
2019-04-24,500,
2019-04-24,1000,
2019-04-24,1500,
2019-04-24,2000,
2019-04-24,2500,
2019-05-28,100,
2019-05-28,500,
2019-05-28,1000,
2019-05-28,1500,
2019-05-28,2000,
2019-05-28,2500,
2019-06-26,100,
2019-06-26,500,
2019-06-26,1000,
2019-06-26,1500,
2019-06-26,2000,
2019-06-26,2500,
2019-07-31,100,
2019-07-31,500,
2019-07-31,1000,
2019-07-31,1500,
2019-07-31,2000,
2019-07-31,2500,
2019-08-27,100,
2019-08-27,500,
2019-08-27,1000,
2019-08-27,1500,
2019-08-27,2000,
2019-08-27,2500,
1999-01-26,100,1.69
1999-01-26,500,1.73
1999-01-26,1000,2.05
1999-01-26,1500,2.51
1999-01-26,2000,2.7
1999-01-26,2500,3.6
1999-02-12,100,0.72
1999-02-12,500,0.64
1999-02-12,1000,0.7
1999-02-12,1500,0.87
1999-02-12,2000,1.77
1999-02-12,2500,2.44
1999-03-25,100,0.11
1999-03-25,500,0.05
1999-03-25,1000,0.25
1999-03-25,1500,0.43
1999-03-25,2000,0.72
1999-03-25,2500,4.47
1999-04-27,100,2.3
1999-04-27,500,2.36
1999-04-27,1000,1.24
1999-04-27,1500,2.53
1999-04-27,2000,5.14
1999-04-27,2500,7.68
1999-05-25,100,0.05
1999-05-25,500,0.15
1999-05-25,1000,0.06
1999-05-25,1500,0.93
1999-05-25,2000,4.54
1999-05-25,2500,28.6
1999-06-17,100,0.07
1999-06-17,500,0.18
1999-06-17,1000,0.11
1999-06-17,1500,0.12
1999-06-17,2000,1.28
1999-06-17,2500,0.6
1999-07-15,100,0.07
1999-07-15,500,0.05
1999-07-15,1000,0.01
1999-07-15,1500,0.06
1999-07-15,2000,0.05
1999-07-15,2500,0.95
1999-08-17,100,0.07
1999-08-17,500,0.02
